,start_time,end_time,hv_SiPM,hv_PMT,hv_veto_SiPM,hv_veto_PMT,custom_scenario_PMT,custom_scenario_SiPM,thresholds_SiPM.channel_0,thresholds_SiPM.channel_1,thresholds_SiPM.channel_2,thresholds_SiPM.channel_3,thresholds_PMT.channel_0,thresholds_PMT.channel_1,thresholds_PMT.channel_2,thresholds_PMT.channel_3
79,2022-05-21 11:29:13,2022-05-21 12:20:58,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
80,2022-05-21 12:59:19,2022-05-21 13:50:58,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
81,2022-05-21 18:05:27,2022-05-22 19:05:54,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
82,2022-05-22 19:10:18,2022-05-22 19:33:55,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
83,2022-05-22 20:12:15,2022-05-23 00:03:55,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
84,2022-05-23 00:42:09,2022-05-23 01:33:55,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
85,2022-05-23 02:12:15,2022-05-23 03:03:55,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
86,2022-05-23 08:10:58,2022-05-23 09:02:47,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
87,2022-05-23 09:40:58,2022-05-23 10:32:47,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
88,2022-05-23 11:11:01,2022-05-23 12:02:47,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
89,2022-05-24 17:07:45,2022-05-24 17:49:33,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
90,2022-05-24 18:37:45,2022-05-24 19:19:33,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
91,2022-05-24 20:07:51,2022-05-24 20:49:33,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
92,2022-05-24 21:37:51,2022-05-24 22:19:33,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
93,2022-05-24 23:07:54,2022-05-24 23:49:33,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
94,2022-05-25 00:37:51,2022-05-25 01:19:33,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
95,2022-05-25 02:07:51,2022-05-25 02:49:33,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
96,2022-05-25 08:07:38,2022-05-25 08:49:26,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
97,2022-05-25 09:37:38,2022-05-25 10:19:26,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
98,2022-05-25 16:14:18,2022-05-25 16:56:03,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
99,2022-05-25 17:44:21,2022-05-25 18:26:03,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
100,2022-05-25 19:14:21,2022-05-25 19:56:03,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
101,2022-05-25 20:44:15,2022-05-25 20:52:12,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
102,2022-05-30 14:47:11,2022-05-30 15:28:53,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
