timestamp,temperature,rate0,rate1,rate2,rate3,ratev,hv_level,veto_level,id_bit,pps_active,suspended,power_on,scenario,longitude,latitude
1665469853.170127,33,42,12,28,34,27,2827,2304,0,1,0,0,14,121.68962208848649,42.38869729630516
1665469874.5174818,33,43,12,30,34,27,2827,2304,0,1,0,0,14,123.16219071539054,41.61583886725395
1665469895.8648367,33,45,13,25,31,28,2827,2304,0,1,0,0,14,124.59644841082687,40.8220492758012
1665469917.2121913,33,41,12,27,33,24,2827,2304,0,1,0,0,14,125.99524235370848,40.008409183001284
1665469959.9069011,33,45,9,24,30,26,2827,2304,0,1,0,0,14,128.6873462929116,38.326104867126446
1665469981.254256,33,51,9,24,29,25,2827,2304,0,1,0,0,14,129.98418271494322,37.45949499937009
1665470002.601611,34,47,9,23,32,25,2827,2304,0,1,0,0,14,131.24794584304115,36.57649203470979
1665470023.9489658,34,42,10,22,28,21,2827,2304,0,1,0,0,14,132.48198486555845,35.678509225913885
1665470045.2963204,34,44,8,20,30,22,2827,2304,0,1,0,0,14,133.68589703257095,34.76617048988612
1665470066.6436753,34,39,7,18,26,19,2827,2304,0,1,0,0,14,134.86158319609393,33.83994206817502
1665470087.9910302,34,46,7,17,27,20,2827,2304,0,1,0,0,14,136.01105276564496,32.900844805050994
1665470109.338385,34,45,7,18,28,19,2827,2304,0,1,0,0,14,137.13360432833807,31.950217565042298
1665470130.68574,34,46,6,16,28,21,2827,2304,0,1,0,0,14,138.2319163658924,30.987590130464913
1665470152.033095,34,44,7,16,28,19,2827,2304,0,1,0,0,14,139.30601854249238,30.014113010785124
1665470173.3804495,34,45,6,16,25,20,2827,2304,0,1,0,0,14,140.35821698423933,29.03096947557365
1665470194.7278044,34,46,5,16,26,19,2827,2304,0,1,0,0,14,141.38819130819925,28.037400106677666
1665470216.0751593,34,48,6,17,25,18,2827,2304,0,1,0,0,14,142.39825465380758,27.035078020407756
1665470237.4225142,34,47,5,16,26,19,2827,2304,0,1,0,0,14,143.38942703066817,26.02422020454936
1665470258.769869,34,46,5,15,25,18,2827,2304,0,1,0,0,14,144.36139182036473,25.005050344212513
1665470280.1172237,35,46,5,15,27,19,2827,2304,0,1,0,0,14,145.3164633479131,23.978832807892736
1665470301.4645786,35,45,4,14,27,18,2827,2304,0,1,0,0,14,146.25497814948096,22.944732877487983
1665470322.8119335,35,47,4,13,24,15,2827,2304,0,1,0,0,14,147.17797133530297,21.904225598231573
1665470344.1592884,35,47,5,14,26,18,2827,2304,0,1,0,0,14,148.08651369578203,20.85727794720633
1665470365.5066433,35,46,5,14,24,18,2827,2304,0,1,0,0,14,148.98128776437025,19.80493275465857
1665470386.8539982,35,48,4,12,24,18,2827,2304,0,1,0,0,14,149.86302018288765,18.746793608607458
1665470408.2013528,35,47,3,14,24,17,2827,2304,0,1,0,0,14,150.7332509717514,17.6835992744061
1665470429.5487077,35,42,4,12,23,14,2827,2304,0,1,0,0,14,151.5919494796916,16.615312961941637
1665470450.8960626,35,38,5,13,26,17,2827,2304,0,1,0,0,14,152.44044997676812,15.543518625349412
1665470472.2434175,35,47,4,12,23,15,2827,2304,0,1,0,0,14,153.2789251993199,14.466870292253336
1665470493.5907724,35,42,5,12,24,16,2827,2304,0,1,0,0,14,154.1089959947731,13.386899886457313
1665470514.9381273,35,44,5,15,22,16,2827,2304,0,1,0,0,14,154.93086220410376,12.302749056675673
1665470536.285482,35,47,5,14,22,18,2827,2304,0,1,0,0,14,155.74484506919995,11.216444775547435
1665470557.6328368,35,41,5,13,22,15,2827,2304,0,1,0,0,14,156.55248197440608,10.126959735925672
1665470578.9801917,35,43,4,15,23,16,2827,2304,0,1,0,0,14,157.3538797579115,9.034642624890616
1665470600.3275466,36,45,6,13,22,17,2827,2304,0,1,0,0,14,158.15006676657495,7.9403980724709236
1665470621.6749015,36,45,5,14,25,16,2827,2304,0,1,0,0,14,158.94197182450645,6.844504172827929
1665470643.0222564,36,45,5,13,24,17,2827,2304,0,1,0,0,14,159.72957981731832,5.746484082548287
1665470664.369611,36,46,4,13,22,16,2827,2304,0,1,0,0,14,160.51325278789326,4.647015690572321
1665470685.716966,36,46,4,14,22,15,2827,2304,0,1,0,0,14,161.2949809454761,3.5472608570490305
1665470707.0643208,36,47,4,14,23,18,2827,2304,0,1,0,0,14,162.07472849172342,2.4460817094613145
1665470728.4116757,36,44,5,13,22,16,2827,2304,0,1,0,0,14,162.85254939768316,1.3443340248855047
1665470765.007141,36,16,2,5,8,5,0,0,0,1,1,0,12,164.1852405298313,-0.5451327919392902
1665473400.006348,12,0,0,0,0,0,0,0,0,1,0,1,0,-31.65650105740277,-5.375573805617231
1665473429.1644907,14,0,0,0,0,0,3000,1900,0,1,0,0,3,-30.586581964306365,-3.871971222514612
1665473450.279008,15,72,0,0,0,0,3000,1900,0,1,0,0,3,-29.814201975348222,-2.78212297051026
1665473471.3935254,16,70,0,0,0,0,3000,1900,0,1,0,0,3,-29.043599878561945,-1.6914866233677717
1665473492.5080426,16,68,0,0,0,0,3000,1900,0,1,0,0,3,-28.27397289569635,-0.6004506809643009
1665473513.6225598,17,64,0,0,0,0,3000,1900,0,1,0,0,3,-27.50621392560558,0.48745624997287706
1665473534.737077,17,66,0,0,0,0,3000,1900,0,1,0,0,3,-26.736453293300723,1.5783108737886906
1665473555.8515942,18,62,0,0,0,0,3000,1900,0,1,0,0,3,-25.966148602035787,2.6686506703101367
1665473576.9661117,18,66,0,0,0,0,3000,1900,0,1,0,0,3,-25.193888099760862,3.7586017932325224
1665473598.0806289,19,66,0,0,0,0,3000,1900,0,1,0,0,3,-24.419766113007714,4.847797886003596
1665473619.195146,19,2,0,0,0,0,0,0,0,1,1,0,12,-23.642979526623627,5.9355343300323815
1665473672.484166,20,0,0,0,0,0,0,0,0,1,0,0,11,-21.665782094050105,8.673996977076726
1665473693.598683,21,0,0,0,0,0,4000,1000,0,1,0,0,0,-20.87448065791283,9.756060397281004
1665473714.7132003,21,0,0,0,0,0,4000,1000,0,1,0,0,0,-20.076907461622532,10.835361038348704
1665473735.8277175,21,0,0,0,0,0,4000,1000,0,1,0,0,0,-19.273704498009895,11.912180084891169
