seq_nr,entry_nr,script_nr,data,timestamp
950,69,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
951,70,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
952,71,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
953,72,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
954,73,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
955,74,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
956,75,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
957,76,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
958,77,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
959,78,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
960,79,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
961,80,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
962,81,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
963,82,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
964,83,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
965,84,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
966,85,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
967,86,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
968,87,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
969,88,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
970,89,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
971,90,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
972,91,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
973,92,8,b'\x00\x00\x00\x00E\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
974,93,8,b'\x00\x00\x00\x00C\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
975,94,8,b'\x00\x00\x00\x00F\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
976,95,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
977,96,8,b'\x00\x00\x00\x00F\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
978,97,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
979,98,8,b'\x00\x00\x00\x00F\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
980,99,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
981,100,8,b'\x00\x00\x00\x00F\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
982,101,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
983,102,8,b'\x00\x00\x00\x00F\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
984,103,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
985,104,8,b'\x00\x00\x00\x00F\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
986,105,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
987,106,8,b'\x00\x00\x00\x00F\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
988,107,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
