#### , TYP-yyMMdd-HH:mm:ss-numer_N_all , yyyy-MMM-dd HH:mm:ss.SSSSSS , Lat , Lon , B_PhN , PhN90 , Pcore , B_dur , T_90 , Tcore , C_PhN , C_dur , DOY , xDPU , tcp , Pos , Corr , Typ ,

49, TGF-220617-09:48:09-27645 , 2022-06-17 09:48:10.063417 ,1.5542,101.5841,36,32,32,285,176,166, --- , --- ,168,165371,0, App ,-70047, B , 
50, TGF-220618-07:24:02-30832 , 2022-06-18 07:24:02.700211 ,14.533,121.7309,71,63,63,288,139,139, --- , --- ,169,776889,0, App ,-78322, B , 
51, TGF-220618-19:49:53-32575 , 2022-06-18 19:49:53.233189 ,5.4621,-60.351,139,125,125,188,92,90, --- , --- ,169,733039,0, App ,61849, B , 
52, TGF-220618-19:50:40-32579 , 2022-06-18 19:50:40.770187 ,3.0429,-58.6344,39,35,35,171,127,122, --- , --- ,169,271784,0, App ,61596, B , 
53, TGF-220618-21:18:47-32770 , 2022-06-18 21:18:47.054882 ,17.3942,-92.898,125,113,112,99,73,62, --- , --- ,169,476444,0, App ,33561, B , 
54, TGF-220619-18:16:40-35811 , 2022-06-19 18:16:40.528392 ,-4.3485,138.2815,45,41,40,159,147,98,10,206,170,21793,0, App ,53400, B , 
55, TGF-220620-19:50:36-39701 , 2022-06-20 19:50:36.983473 ,-1.4114,-66.989,143,129,128,204,136,128, --- , --- ,171,986917,0, App ,-19556, B , 
56, TGF-220621-06:35:27-41388_ALL , 2022-06-21 06:35:27.417288 ,14.1809,116.5607,200, --- , --- ,1062, --- , --- , --- , --- ,172,249410,0, App ,9121, B , 
56, TGF-220621-06:35:27-41388_a , 2022-06-21 06:35:27.417288 ,14.1809,116.5607,131,117,117,510,342,342, --- , --- ,172,249410,0, App ,9121, B , 
56, TGF-220621-06:35:27-41388_b , 2022-06-21 06:35:27.418198 ,14.1809,116.5607,65,59,58,152,75,73, --- , --- ,172,250320,0, App ,9121, B , 
57, TGF-220622-19:10:15-46625 , 2022-06-22 19:10:15.565575 ,24.1276,130.9183,32,28,28,142,56,55, --- , --- ,173,58827,0, App ,-78748, B , 
58, TGF-220623-18:14:15-49972 , 2022-06-23 18:14:16.035253 ,-2.181,116.8528,45,41,40,298,286,150,29,405,174,645136,0, App ,-95117, B , 
59, TGF-220623-18:57:43-50087 , 2022-06-23 18:57:43.128336 ,11.1402,-81.3866,207,187,186,148,70,70, --- , --- ,174,702728,0, App ,-98609, B , 
60, TGF-220626-06:40:32-59056 , 2022-06-26 06:40:32.528543 ,12.146,-73.2027,22,20,19,510,410,266,6,268,177,253065,0, App ,35521, B , 
61, TGF-220627-11:56:02-63562_ALL , 2022-06-27 11:56:02.656121 ,-13.642,179.9227,39, --- , --- ,293, --- , --- ,11,265,178,617600,0, App ,-95521, B , 
61, TGF-220627-11:56:02-63562_a , 2022-06-27 11:56:02.656121 ,-13.642,179.9227,13, --- , --- ,92, --- , --- ,4,68,178,617600,0, App ,-95521, B , 
61, TGF-220627-11:56:02-63562_b , 2022-06-27 11:56:02.656367 ,-13.642,179.9227,26,24,23,47,34,28,7,27,178,617846,0, App ,-95521, B , 
62, TGF-220628-22:41:37-03157 , 2022-06-28 22:41:37.546941 ,24.4606,179.9655,87,79,78,63,50,46, --- , --- ,179,52944,0, App ,100002, B , 
63, TGF-220629-15:13:47-05760 , 2022-06-29 15:13:47.912269 ,26.7351,152.1581,47,43,42,72,43,40,7,41,180,224764,0, App ,6495, B , 
64, TGF-220629-19:44:45-06404 , 2022-06-29 19:44:45.082398 ,4.1502,63.223,52,46,46,45,29,28,17,60,180,347880,0, App ,76481, B , 
65, TGF-220701-04:15:59-11514 , 2022-07-01 04:16:00.061013 ,8.0663,-69.5085,35,31,31,167,105,105,4,75,182,994869,0, App ,-72144, B , 
66, TGF-220701-16:42:13-13376 , 2022-07-01 16:42:13.233430 ,18.2065,109.4579,324,292,291,317,154,148,244,387,182,14410,0, App ,73979, B , 
67, TGF-220703-18:15:05-20998 , 2022-07-03 18:15:05.680913 ,22.732,78.2324,12, --- , --- ,157, --- , --- ,8,170,184,824513,0, App ,37599, B , 
68, TGF-220703-21:13:47-21434 , 2022-07-03 21:13:47.070781 ,1.6761,14.8913,58,52,52,88,68,63,29,127,184,184266,0, App ,-25516, B , 
