Version,Trigger_Name,Name,Time(MJD),Trigger_Time(MJD),Trigger_Type,Trigger_Timescale(ms),Detector_Mask,Long(Degrees),Lat(Degrees)
1 ,bn221129787 ,UNCERT22112978 ,  59912.7855300 ,  59912.7870474 ,UNCERT ,  16 ,00000000000011 ,178.9833 , 20.7500
1 ,bn221129167 ,LOCLPAR2211291 ,  59912.1652215 ,  59912.1667386 ,LOCLPAR ,4096 ,00001000001000 ,264.5000 ,-25.6667
1 ,bn221128178 ,LOCLPAR2211281 ,  59911.1759398 ,  59911.1775279 ,LOCLPAR ,4096 ,00100001000000 ,270.0833 ,-25.6500
0 ,bn221127794 ,TGF221127794 ,  59910.7933277 ,  59910.7940913 ,TGF ,  16 ,00000000000011 ,120.4000 , -9.1167
0 ,bn221127352 ,GRB221127352 ,  59910.3505991 ,  59910.3522050 ,GRB ,  64 ,11010000000000 , 29.1000 , 25.6167
0 ,bn221126547 ,GRB221126547 ,  59909.5452995 ,  59909.5468743 ,GRB , 128 ,00000010010000 ,249.5333 ,  5.1667
0 ,bn221125956 ,TGF221125956 ,  59908.9540053 ,  59908.9555305 ,TGF ,  16 ,00000011110001 ,118.8000 , 10.4667
0 ,bn221121274 ,GRB221121274 ,  59904.2725831 ,  59904.2741868 ,GRB ,  32 ,00000011000000 , 52.1333 , 15.0500
1 ,bn221120895 ,GRB221120895 ,  59903.8939312 ,  59903.8954612 ,GRB ,  64 ,00000010000100 ,290.3167 , 19.2500
1 ,bn221120087 ,SGR221120087 ,  59903.0852504 ,  59903.0868130 ,SGR ,  16 ,11100000001000 ,128.9500 , 15.0667
1 ,bn221119912 ,SGR221119912 ,  59902.9106098 ,  59902.9121876 ,SGR ,  16 ,00011000000000 ,324.6167 ,  6.7167
0 ,bn221119780 ,SGR221119780 ,  59902.7780488 ,  59902.7795751 ,SGR ,  16 ,00011000000000 ,  9.9167 ,  8.2833
1 ,bn221119627 ,GRB221119627 ,  59902.6254512 ,  59902.6270097 ,GRB ,1024 ,00001001000000 ,308.5500 , 18.5833
1 ,bn221119537 ,SFLARE22111953 ,  59902.5358049 ,  59902.5373442 ,SFLARE ,  64 ,01000100000000 ,216.3167 ,-25.2333
0 ,bn221118575 ,GRB221118575 ,  59901.5736735 ,  59901.5752261 ,GRB ,2048 ,00100100000000 ,356.3333 , 23.5167
