status,time,description,ID_in_Graph
1,1657865381.990936,"('delay of ', 4.5)",SE0>script delay 4500,
1,1657865381.991394,read the current time ,1657865381.991394,
1,1657867500.0,"('delay until ', 1657867500.0)",SE0>script delayuntil 1657867500,
1,1657867500.009186,read the current time ,1657867500.009186,
-1,1657867503.009186,36,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 08')"
1,1657867513.009186,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657867513.009186,37,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 08')"
1,1657867543.009186,"('delay of ', 30.0)",SE0>script delay 30000,
1,1657867543.009186,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008000000')"
1,1657867563.009186,"('delay of ', 20.0)",SE0>script delay 20000,
1,1657867563.009186,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A000000')"
1,1657867568.009186,"('delay of ', 5.0)",SE0>script delay 5000,
1,1657867568.009186,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007000000')"
1,1657870200.0,"('delay until ', 1657870200.0)",SE0>script delayuntil 1657870200,
1,1657870200.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657870200.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657870200.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657870200.013245,read the current time ,1657870200.013245,
1,1657870200.013245,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657870201.013245,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657870201.013245,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657870202.013245,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657870202.013245,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657870382.013245,"('delay of ', 180.0)",SE0>script delay 180000,
1,1657870382.013245,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
-1,1657870385.013245,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657870385.013245,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
-1,1657870388.013245,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657870398.013245,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870397.96347,read the current time ,1657870397.96347,
1,1657870397.96347,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657870407.96347,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657870410.96347,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657870420.96347,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870420.96347,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657870430.96347,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657870430.96347,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657870470.96347,"('delay of ', 40.0)",SE0>script delay 40000,
