status,time,description,ID_in_Graph
1,1657908000.0,"('delay until ', 1657908000.0)",SE0>script delayuntil 1657908000,
1,1657908000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657908000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657908000.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657908000.013458,read the current time ,1657908000.013458,
1,1657908000.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657908001.013458,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908001.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657908002.013458,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908002.013458,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657908182.013458,"('delay of ', 180.0)",SE0>script delay 180000,
1,1657908182.013458,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657908182.013458,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657908182.013458,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657908182.013458,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657908192.013458,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908192.025879,read the current time ,1657908192.025879,
1,1657908192.025879,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657908202.025879,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908202.025879,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657908212.025879,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908212.025879,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657908222.025879,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908222.025879,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657908262.025879,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657908261.983063,read the current time ,1657908261.983063,
1,1657908261.983063,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657908271.983063,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908271.983063,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657908281.983063,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908281.983063,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657908291.983063,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908291.983063,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657908351.983063,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657908351.988129,read the current time ,1657908351.988129,
1,1657908351.988129,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657908352.988129,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908352.988129,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657908353.988129,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908353.988129,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657908354.988129,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657908354.988129,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657908414.988129,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657908414.992676,read the current time ,1657908414.992676,
1,1657908414.992676,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657908424.992676,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908424.992676,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657908434.992676,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908434.992676,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657908444.992676,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908444.992676,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657908504.992676,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657908504.997345,read the current time ,1657908504.997345,
1,1657908508.497345,"('delay of ', 3.5)",SE0>script delay 3500,
1,1657908508.497375,read the current time ,1657908508.497375,
1,1657908508.497375,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657908518.497375,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908518.497375,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657908558.497375,"('delay of ', 40.0)",SE0>script delay 40000,
-1,1657908561.497375,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657908571.497375,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657908571.497375,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657908571.502777,read the current time ,1657908571.502777,
1,1657908576.002777,"('delay of ', 4.5)",SE0>script delay 4500,
1,1657908576.003052,read the current time ,1657908576.003052,
1,1657910700.0,"('delay until ', 1657910700.0)",SE0>script delayuntil 1657910700,
1,1657910700.00354,read the current time ,1657910700.00354,
1,1657910700.00354,36,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 08')"
1,1657910710.00354,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657910710.00354,37,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 08')"
1,1657910740.00354,"('delay of ', 30.0)",SE0>script delay 30000,
1,1657910740.00354,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008000000')"
1,1657910760.00354,"('delay of ', 20.0)",SE0>script delay 20000,
1,1657910760.00354,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A000000')"
1,1657910765.00354,"('delay of ', 5.0)",SE0>script delay 5000,
1,1657910765.00354,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007000000')"
1,1657913400.0,"('delay until ', 1657913400.0)",SE0>script delayuntil 1657913400,
1,1657913400.0,unidentified command ,SE0># End Of Script 15 Jul 2022 19:30:30,
1,1657913400.0,-1,17,LOG END
1,1657913400.0,-1,17,LOG END
